	32hlogFC	42hlogFC	49hlogFC	56hlogFC	66hlogFC	32h	42h	49h	56h	66h
SCO1240	0,151	2,109	0,224	-0,413	-0,064	0,995747	0,000117	0,690434	0,62205	0,96227
SCO1243	-0,187	-0,486	-0,22	0,025	-0,093	0,446134	0,001576	0,13683	0,949226	0,722715
SCO1244	-0,787	-1,062	-0,304	-0,023	0,518	0,017564	0,00051	0,303774	0,976548	0,101742
SCO1245	-1,345	-1,388	0,03	-0,015	0,612	0,000251	0,000064	0,942256	0,987326	0,071257
SCO1246	-0,835	-0,732	-0,296	-0,123	0,353	0,000236	0,000377	0,125525	0,727589	0,095436
SCO1247	-0,317	0,137	-0,396	-0,281	-1,161	0,431334	0,644021	0,104222	0,457976	0,000038
SCO1266	-0,104	-0,046	-0,215	0,042	-0,597	0,815732	0,801583	0,124568	0,894695	0,00014
SCO1271	-0,245	-0,579	-0,24	-0,135	-0,619	0,371859	0,001576	0,174105	0,653115	0,001065
SCO1276	-0,155	-0,069	-0,803	-0,031	-1,627	0,990001	0,91486	0,076545	0,979497	0,000959
SCO1277	0,106	-0,059	-0,031	0,068	-1,181	0,995747	0,904444	0,945854	0,940401	0,001588
SCO1278	-0,019	-0,484	-0,235	-0,021	-0,902	0,999071	0,108951	0,439865	0,978399	0,003299
SCO1290	-0,053	0,249	0,517	0,6	1,724	0,999071	0,441231	0,064855	0,075932	0,000001
SCO1293	-1,886	-0,637	-0,017	0,249	-0,554	0,00009	0,135484	0,973715	0,73464	0,246087
SCO1297	-0,43	-0,983	-0,537	-0,238	-0,083	0,432873	0,004165	0,105474	0,680112	0,922667
SCO1298	0,922	0,484	0,828	0,814	0,708	0,000311	0,030453	0,000661	0,001207	0,002395
SCO1311	-0,184	-0,593	-0,279	-0,314	0,099	0,372912	0,000054	0,034416	0,043037	0,641777
SCO1314	-0,258	-0,904	-0,786	-0,114	0,413	0,721526	0,003154	0,010816	0,85509	0,23941
SCO1318	0,27	-0,505	0,047	0,381	0,417	0,287264	0,005191	0,825538	0,070263	0,024443
SCO1329	-0,202	-0,5	-0,246	-0,485	-1,711	0,974729	0,371771	0,656159	0,547148	0,001387
SCO1330	-0,005	-0,071	-0,18	-0,185	-1,781	0,999564	0,908451	0,715862	0,835115	0,000222
SCO1341	-0,076	-0,33	-0,547	-0,473	-0,434	0,976782	0,105397	0,007939	0,038372	0,036371
SCO1347	0,059	2,065	1,222	0,702	0,622	0,999071	0,000002	0,001911	0,118769	0,123489
SCO1366	-0,58	-0,336	-0,229	-1,19	-1,727	0,490408	0,562078	0,669223	0,034649	0,000999
SCO1370	0,176	-0,44	-0,474	-0,189	-0,057	0,5528	0,006823	0,005192	0,438032	0,875099
SCO1371	0,434	0,042	0,511	0,493	0,191	0,002295	0,795275	0,000276	0,000617	0,181
SCO1373	0,198	0,451	0,05	-0,174	-0,9	0,703042	0,045674	0,855355	0,639252	0,000231
SCO1386	-0,193	-0,748	-0,762	-0,299	0,203	0,793893	0,003976	0,004683	0,43798	0,6019
SCO1388	-0,537	1,091	0,651	0,289	-0,49	0,060621	0,000043	0,009174	0,426419	0,05547
SCO1393	0,5	0,125	0,199	0,294	0,717	0,059349	0,641968	0,388764	0,363164	0,002351
SCO1395	0,147	-0,529	0,481	0,307	0,86	0,946738	0,097759	0,115615	0,529998	0,007871
SCO1400	-0,413	-0,957	-0,398	-0,421	-0,176	0,340869	0,00154	0,167632	0,303147	0,730719
SCO1401	-0,448	-1,158	-0,194	-0,615	0,192	0,479228	0,002321	0,629846	0,209194	0,790948
SCO1402	-0,071	-0,578	-0,024	-0,071	0,007	0,990658	0,009014	0,933306	0,88331	0,991541
SCO1404	-0,051	-0,513	-0,029	0,023	0,279	0,990001	0,001241	0,879527	0,956311	0,093301
SCO1410	-0,076	-0,338	-1,055	-0,366	0,047	0,974028	0,077644	0,000004	0,107557	0,919298
SCO1411	-0,036	0,301	-1,923	-0,138	-0,054	0,999071	0,381853	0,000001	0,823215	0,949491
SCO1412	-0,172	0,156	-1,978	0,03	0,218	0,911511	0,679309	0,000001	0,969962	0,665659
