gene	logFC_24h	logFC_30h	logFC_36h	logFC_42h	logFC_54h	FDR									
SCO2971	0,45	0,77	0,72	0,35	0,45	0,0109									
SCO2976	0,38	0,66	0,58	0,58	0,62	0,0159									
SCO3013	0,33	0,68	0,87	0,52	0,64	0,0503									
SCO3023	0,51	0,76	0,76	0,32	0,4	0,018									
SCO3035	0,69	0,6	1,14	0,47	0,46	0,1226									
SCO3047	1,21	1,96	1,07	1,98	2,34	0,0095									
SCO3048	0,87	2,06	0,87	1,27	1,72	0,0383									
SCO3051	1,44	2,29	0,86	1,36	1,51	0,011									
SCO3063	0,4	0,81	0,83	0,84	0,79	0,322									
SCO3067	0,41	0,7	0,91	1,02	1,26	0,4227									
SCO3069	0,48	0,94	0,87	1,46	1,17	0,9121									
SCO3086	1,18	3	1,02	1,14	1,82	0,0045									
SCO3087	0,47	1,01	0,99	1,2	1,13	1,0871									
SCO3088	1,1	2,21	0,72	0,89	1	0,1444									
SCO3098	0,6	0,64	0,95	0,49	0,51	0,1253									
SCO3105	0,87	0,93	0,44	0,88	0,37	0,0292									
SCO3106	0,91	0,91	0,47	0,91	0,63	0,0871									
SCO3108	0,72	2,24	1,12	2,27	1,56	0,0269									
SCO3112	0,57	0,87	0,99	0,57	0,49	0,2392									
SCO3121	0,21	0,36	0,95	0,57	0,51	0,0069									
SCO3124	0,4	0,76	0,79	0,51	0,57	0,0609									
SCO3152	1,71	1,42	1,42	1,84	2,67	0,0047									
SCO3167	1,92	1,14	0,57	2,35	2,41	0,0068									
SCO3169	0,66	1,3	1,39	2,16	1,71	0,0223									
SCO3182	0,62	1,05	0,64	0,49	0,48	0,0989									
SCO3187	0,32	0,46	0,59	0,51	0,49	0,0027									
SCO3206	0,45	0,3	1,13	0,2	0,16	0,0015									
SCO3207	0,38	0,27	0,96	0,21	0,17	0,0003									
SCO3218	0,24	1,54	0,77	0,72	0,69	0,1571									
SCO3254	0,96	1,89	0,35	1,09	0,99	0,5121									
SCO3255	0,42	0,8	1,08	1,14	1,39	0,4499									
SCO3266	0,73	0,82	1,5	2,24	2,1	0,0522									
SCO3270	0,45	0,53	1,39	1,52	2,07	0,4737									
SCO3278	0,63	2,02	1,45	2,89	3,54	0,0003									
SCO3290	0,35	0,59	0,55	0,48	0,7	0,0137									
SCO3309	0,92	1,17	2,04	1,17	1,58	0,0638									
SCO3323	0,54	0,74	0,6	0,36	0,47	0,0128									
SCO3327	0,48	1,65	0,6	1,12	0,95	0,5353									
SCO3328	0,4	0,92	1,14	0,72	1,07	0,443									
SCO3342	0,78	2,23	1,02	1,38	1,76	0,0312						DisA	(Cyclic	di‐AMP	synthase)
SCO3352	0,44	0,68	0,95	0,9	0,88	0,4148									
SCO3379	1,12	2,02	0,85	2,03	1,95	0,0125									
SCO3386	0,39	0,85	1,34	0,93	1,1	1,0248									
SCO3409	0,42	0,65	0,95	0,48	0,52	0,056									
