"gene","logFC","FDR","add_variable","start","end","width","strand","data_name"
"predicted RNA",1.42182666494148,0.000305,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.42586046857338,0.000357,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.02308361311304,0.000367,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.12928301694497,0.000404,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.08528518794497,0.000446,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.28472947693311,0.000483,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.15347448066172,5e-04,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.2290255136689,0.000619,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.0794344674944,0.000653,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.909301689708263,0.000659,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.768674453893544,0.000686,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.3275746580285,0.000772,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.33769541074568,0.000893,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.77372414417632,0.001025148,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.7311832415722,0.001344554,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.721813368933659,0.001447522,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.633326904598717,0.001535707,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.62385151411475,0.001576137,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.89308479608349,0.001610343,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.87446911791614,0.001813241,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.28379296600059,0.001916172,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.59537911666649,0.001964109,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.37851162325373,0.002000107,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.13289427049735,0.002043055,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.89481776330794,0.00210268,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.830392458134475,0.002119345,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.725220386493107,0.002122523,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.980634675133069,0.002129252,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.828288379083673,0.002177105,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.36632221424582,0.002269435,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.69849144635157,0.00238901,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.26710407014284,0.002449998,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.638204521998136,0.002797687,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.603821527972472,0.002928304,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.801171050434232,0.003162647,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.57853623156172,0.00338218,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",0.942918904792733,0.003925401,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.16992500144231,0.004831412,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.52793155568478,0.004856854,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.52793155568478,0.004856854,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",0.901416914823667,0.004959947,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.578031451882556,0.005134091,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.5376567859428,0.005421425,"PS04M145",NA,NA,NA,NA,"szafran2019"
